,rootname,PID,exptime,grating,cenwave,segment,fppos,lp,date-obs,targname,length_wl
103,ler111hkq,16830,159.872,G130M,1096,FUVA,3,2,2022-10-16,WAVE,1
104,lbxm03fsq,12806,80.032,G160M,1589,FUVA,2,2,2012-08-19,GD71,1
105,lbxm03g6q,12806,92.032,G160M,1611,FUVA,1,2,2012-08-19,GD71,1
106,ler112eoq,16830,12.0,G160M,1623,FUVB,3,6,2022-09-26,WAVE,1
107,ler15alvq,16830,12.0,G160M,1533,BOTH,3,6,2022-04-17,WAVE,2
108,lbxm03fqq,12806,80.032,G160M,1589,FUVA,1,2,2012-08-19,GD71,1
109,lf4g3bggq,17326,12.0,G160M,1623,FUVB,3,6,2024-02-04,WAVE,1
110,ldsi51kaq,15458,1008.192,G160M,1533,BOTH,3,4,2018-06-26,WD0308-565,2
111,lf4g3bfyq,17326,12.0,G160M,1533,FUVB,3,6,2024-02-04,WAVE,1
112,lf4g04baq,17326,11.936,G160M,1533,FUVA,3,6,2024-02-19,WAVE,1
113,lf2002dyq,17249,11.968,G160M,1623,FUVA,3,6,2022-12-10,WAVE,1
114,ldcv06fjq,14854,140.0,G130M,1096,FUVA,3,2,2017-02-20,WAVE,1
115,ler111i0q,16830,11.936,G160M,1623,FUVA,3,6,2022-10-16,WAVE,1
116,ler15ambq,16830,12.0,G160M,1623,BOTH,3,6,2022-04-17,WAVE,2
117,lf205dnaq,17249,12.0,G160M,1623,BOTH,3,6,2023-06-01,WAVE,2
118,ldqj09fvq,15384,139.904,G130M,1096,FUVA,3,2,2018-08-14,WAVE,1
119,le5g02bxq,15773,139.872,G130M,1096,FUVA,3,2,2019-12-30,WAVE,1
120,lf2002duq,17249,11.968,G160M,1611,FUVA,3,6,2022-12-10,WAVE,1
121,ldv004u4q,15535,139.968,G130M,1096,FUVA,3,2,2019-02-22,WAVE,1
122,lcqz30l7q,13967,139.936,G130M,1096,FUVA,3,2,2015-08-15,WAVE,1
123,ld0y14edq,14435,139.872,G130M,1096,FUVA,3,2,2016-02-22,WAVE,1
124,lf4g3bgeq,17326,12.0,G160M,1611,FUVB,3,6,2024-02-04,WAVE,1
125,lf2002dkq,17249,159.84,G130M,1096,FUVA,3,2,2022-12-10,WAVE,1
126,lbxm02ciq,12806,190.048,G160M,1611,BOTH,1,2,2012-08-20,WD1057+719,2
127,lefe09gsq,16324,159.936,G130M,1096,FUVA,3,2,2021-08-15,WAVE,1
